物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
クオリタス両国,"174,000円","管理費15,000円",なし,なし,なし,東京都墨田区,1102号室,1LDK,41.33㎡,両国駅 徒歩6分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001330643/
Brillia ist 上野,"173,000円","管理費15,000円",なし,なし,なし,東京都台東区,1102号室,1LDK,36.36㎡,上野駅 徒歩10分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001329555/
潮路南第2ハイツ 34号棟,"190,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,202号室,3LDK,74.78㎡,大井競馬場前駅 徒歩8分(東京モノレール羽田),https://www.goodrooms.jp/tokyo/detail/001/1001155024/
Branche武蔵小山,"157,000円","管理費15,000円",なし,なし,なし,東京都目黒区,0101号室,1LDK,45.38㎡,武蔵小山駅 徒歩3分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001311133/
quador中野,"174,000円","管理費15,000円",なし,なし,なし,東京都中野区,0307号室,1LDK,40.41㎡,中野駅 徒歩9分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001324707/
ALERO参宮橋,"160,000円","管理費10,000円",なし,なし,なし,東京都渋谷区,S201号室,1LDK,33.21㎡,参宮橋駅 徒歩5分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001314833/
ルクレ板橋,"152,000円","管理費10,000円",なし,15.2万円,なし,東京都北区,0207号室,1LDK,40.06㎡,西巣鴨駅 徒歩6分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001314830/
GRAN PASEO碑文谷North,"180,000円","管理費10,000円",なし,なし,なし,東京都目黒区,0102号室,2DK,41.11㎡,都立大学駅 徒歩8分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1001312410/
PASEO新宿三丁目Ⅰ,"180,000円","管理費10,000円",なし,なし,なし,東京都新宿区,0101号室,1LDK,40.83㎡,新宿三丁目駅 徒歩7分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001310551/
K・I・Mコーポ,"110,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,3階,2DK,39.6㎡,穴守稲荷駅 徒歩4分(京浜急行電鉄空港線),https://www.goodrooms.jp/tokyo/detail/001/1001311420/
プラネソシエ青戸,"150,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,104号室,1LDK,45.54㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309221/
プラネソシエ青戸,"163,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,503号室,1LDK,44.51㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309216/
プラネソシエ青戸,"180,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,504号室,2LDK,51.24㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309212/
プラネソシエ青戸,"128,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,105号室,1LDK,39.01㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309208/
プラネソシエ青戸,"160,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,207号室,1LDK,45.95㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309211/
プラネソシエ青戸,"164,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,304号室,1LDK,45.54㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309201/
プラネソシエ青戸,"163,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,205号室,1LDK,45.54㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309202/
プラネソシエ青戸,"165,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,404号室,1LDK,45.54㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309200/
プラネソシエ青戸,"162,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,406号室,1LDK,45.95㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309196/
プラネソシエ青戸,"161,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,306号室,1LDK,45.95㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309197/
プラネソシエ青戸,"122,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,407号室,1LDK,33.39㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309194/
プラネソシエ青戸,"121,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,307号室,1LDK,33.39㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309195/
プラネソシエ青戸,"120,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都葛飾区,208号室,1LDK,33.39㎡,青砥駅 徒歩4分(京成電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001309190/
メゾンりあ,"143,000円","管理費7,000円",1ヶ月,2ヶ月,1.1ヶ月,東京都世田谷区,101号室,1LDK,39.59㎡,下高井戸駅 徒歩7分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001251353/
M・CASA,"127,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,3階,1LDK,68.1㎡,青井駅 徒歩3分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001334597/
Lacharite大岡山,"162,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,1階,1LDK,40.7㎡,大岡山駅 徒歩7分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1000830785/
ユーコート上池袋,"100,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,7階,1LDK,35.07㎡,北池袋駅 徒歩8分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001344140/
ルーク高井戸,"106,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,2階,1LDK,38.19㎡,高井戸駅 徒歩2分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1001321767/
グランウエスト,"130,000円","管理費15,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都板橋区,4階,1LDK,48.68㎡,東武練馬駅 徒歩9分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001341370/
マンション ウィスタリア,"160,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,3階,3DK,61.6㎡,高田馬場駅 徒歩8分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000519231/
ビバリーホームズ西台Ⅲ,"69,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都板橋区,3階,2K,24.64㎡,西台駅 徒歩9分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1000999561/
セブンスターハイツ池上,"92,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,1階,1LDK,42.35㎡,池上駅 徒歩7分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001106673/
グランスイート四谷エクシア,"178,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,8階,1LDK,39.29㎡,四谷三丁目駅 徒歩1分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000771136/
あもえビル,"91,000円","管理費9,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都江戸川区,2階,2DK,37.1㎡,新小岩駅 徒歩6分(総武本線),https://www.goodrooms.jp/tokyo/detail/001/1001324844/
パークレジデンス大森,"134,000円","管理費12,000円",2ヶ月,1ヶ月,1.1ヶ月,東京都大田区,11階,2DK,48.08㎡,大森駅 徒歩5分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001117588/
EIMA Residence,"119,000円","管理費5,000円",なし,なし,1.1ヶ月,東京都練馬区,2階,1LDK,40.99㎡,石神井公園駅 徒歩4分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001204386/
LAPiS本郷,"167,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,4階,1LDK,46.1㎡,春日駅 徒歩6分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001318375/
グラーサ銀座イースト,"165,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中央区,12階,1LDK,49.89㎡,新富町駅 徒歩2分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1000840573/
ガーデンプレイス久我山,"160,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,3階,3DK,60.0㎡,久我山駅 徒歩3分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1001061433/
リシェル氷川台,"125,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,4階,3DK,55.0㎡,氷川台駅 徒歩3分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001298422/
デュオ・スカーラ新大久保,"155,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,3階,1LDK,38.22㎡,新大久保駅 徒歩4分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000839938/
グリシーヌ・メゾン,"70,000円","管理費4,000円",1ヶ月,なし,1.1ヶ月,東京都足立区,2階,1K,24.84㎡,西新井駅 徒歩5分(東武伊勢崎・大師線),https://www.goodrooms.jp/tokyo/detail/001/1001079036/
A&E SUMIKA,"75,000円","管理費2,000円",7.5万円,なし,1.1ヶ月,東京都大田区,202B号室,1R,24.7㎡,大森町駅 徒歩10分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001342737/
ハーモニーヒルズ,"83,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都豊島区,103号室,1K,23.62㎡,池袋駅 徒歩6分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1000965364/
ハイムＵ,"82,000円","管理費2,500円",1ヶ月,1ヶ月,なし,東京都世田谷区,201号室,1K,31.0㎡,経堂駅 徒歩10分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001343080/
パピヨン南大井,"76,000円","管理費4,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,218号室,1K,22.5㎡,立会川駅 徒歩7分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001343125/
レジディア日本橋浜町,"165,000円","管理費15,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中央区,1005号室,1LDK,41.14㎡,浜町駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001343058/
レジディア広尾II,"98,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都渋谷区,0407号室,1K,19.67㎡,広尾駅 徒歩7分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001343056/
レジディア文京千石,"120,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,0501号室,1LDK,31.29㎡,千石駅 徒歩3分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001343055/
アクサス蒲田,"76,500円","管理費15,000円",なし,なし,0.55ヶ月,東京都大田区,9階,1K,22.41㎡,蒲田駅 徒歩6分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001326211/
ルーブル学芸大学,"69,000円","管理費16,000円",なし,1ヶ月,1.1ヶ月,東京都目黒区,303号室,1K,19.6㎡,学芸大学駅 徒歩10分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1001342323/
レジデンス上鷺,"165,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都中野区,106号室,2LDK,65.52㎡,富士見台駅 徒歩4分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001340769/
シャルマンコート大塚,"120,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,403号室,1DK,32.39㎡,新大塚駅 徒歩3分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000535158/
グランカーサ三ノ輪Ⅳ,"103,000円","管理費6,000円",なし,なし,1.1ヶ月,東京都荒川区,0204号室,1K,28.07㎡,南千住駅 徒歩6分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001342180/
グランカーサ三ノ輪Ⅳ,"166,000円","管理費8,000円",なし,1ヶ月,1.1ヶ月,東京都荒川区,0205号室,1LDK,40.88㎡,南千住駅 徒歩6分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001342179/
グランカーサ三ノ輪Ⅳ,"189,000円","管理費10,000円",なし,1ヶ月,1.1ヶ月,東京都荒川区,0201号室,1LDK,52.81㎡,南千住駅 徒歩6分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001342176/
ZOOM錦糸町Parkside,"109,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都墨田区,302号室,1K,26.09㎡,錦糸町駅 徒歩6分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001083939/
ZOOM中野坂上,"127,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中野区,106号室,1DK,28.44㎡,中野坂上駅 徒歩4分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001342402/
ラフィスタ下丸子,"87,000円","管理費15,000円",なし,なし,なし,東京都大田区,507号室,2K,25.5㎡,武蔵新田駅 徒歩11分(東急多摩川線),https://www.goodrooms.jp/tokyo/detail/001/1001116360/
グランエッグス文京大塚,"118,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都文京区,302号室,1R,26.87㎡,新大塚駅 徒歩5分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001272705/
ラピス　ワン,"138,000円","管理費8,000円",なし,1ヶ月,1.1ヶ月,東京都板橋区,105号室,2LDK,55.66㎡,上板橋駅 徒歩11分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001281259/
ORME COURT NIPPORI EAST,"105,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都荒川区,0401号室,1DK,25.27㎡,鶯谷駅 徒歩8分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000703275/
PREMIUM CUBE 両国DEUX,"149,500円","管理費21,000円",なし,なし,なし,東京都墨田区,401号室,1LDK,40.92㎡,両国駅 徒歩11分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000760452/
羽ばたけバレリーナ,"162,000円","管理費8,000円",なし,なし,1.1ヶ月,東京都新宿区,301号室,1DK,41.41㎡,飯田橋駅 徒歩7分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000778422/
ラム酒とドライフラワー,"181,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都世田谷区,203号室,1LDK,40.56㎡,明大前駅 徒歩5分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001313793/
プラチナコート神田,"92,000円","管理費8,000円",なし,1ヶ月,1.1ヶ月,東京都千代田区,303号室,1K,25.09㎡,岩本町駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1000971728/
お月さまと一緒に,"142,000円","管理費5,000円",2ヶ月,なし,1.1ヶ月,東京都世田谷区,201号室,1DK,32.23㎡,尾山台駅 徒歩10分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001258757/
シャキッとクールに,"100,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,402号室,1K,25.11㎡,春日駅 徒歩7分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001288326/
光さすリビングルームで,"113,000円","管理費3,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,102号室,2LDK,50.0㎡,雪が谷大塚駅 徒歩10分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001261637/
ミニマムの可能性,"63,500円","管理費5,000円",なし,なし,1.1ヶ月,東京都板橋区,206号室,1R,13.01㎡,要町駅 徒歩12分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001330165/
ウェルス中葛西,"65,000円","管理費5,000円",なし,なし,1.1ヶ月,東京都江戸川区,0204号室,1K,23.55㎡,葛西駅 徒歩6分(東京地下鉄東西線),https://www.goodrooms.jp/tokyo/detail/001/1001343267/
クオリタス杉並方南町,"95,000円","管理費15,000円",なし,なし,なし,東京都杉並区,0105号室,1K,25.5㎡,方南町駅 徒歩10分(東京地下鉄方南支線),https://www.goodrooms.jp/tokyo/detail/001/1001343253/
コンフォリア新中野,"123,000円","管理費6,000円",1ヶ月,なし,1.1ヶ月,東京都中野区,0311号室,1R,26.38㎡,新中野駅 徒歩2分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000193079/
ザ・クレスト,"144,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,304号室,3LDK,64.25㎡,赤羽岩淵駅 徒歩7分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1001333559/
パネトーネ,"78,000円","管理費3,000円",1ヶ月,なし,1.1ヶ月,東京都板橋区,203号室,1R,29.44㎡,成増駅 徒歩7分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001342089/
nido南千住,"108,000円","管理費15,000円",なし,なし,なし,東京都荒川区,0208号室,1LDK,32.04㎡,南千住駅 徒歩7分(常磐線),https://www.goodrooms.jp/tokyo/detail/001/1001342121/
六町１丁目戸建ｂ棟,"180,000円",管理費なし,1ヶ月,2ヶ月,1.1ヶ月,東京都足立区,1号室,3LDK,82.8㎡,六町駅 徒歩7分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001342419/
四谷テラス,"90,000円","管理費4,000円",なし,なし,1.1ヶ月,東京都新宿区,04号室,1R,16.6㎡,曙橋駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001314070/
LOC'S赤羽志茂,"97,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都北区,306号室,1LDK,26.88㎡,志茂駅 徒歩3分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1000851833/
テスタ東小松川,"52,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都江戸川区,108号室,1K,19.55㎡,船堀駅 徒歩15分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001293253/
帰ったら何をしようかな？,"73,000円","管理費3,000円",1ヶ月,なし,1.0ヶ月,東京都杉並区,101号室,1K,22.35㎡,高井戸駅 徒歩9分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1001303047/
好みのテイストに変化して,"78,000円","管理費6,000円",なし,なし,1.1ヶ月,東京都練馬区,203号室,1K,25.23㎡,練馬春日町駅 徒歩9分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000548537/
もういちどここから,"123,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都目黒区,602号室,1K,25.38㎡,池尻大橋駅 徒歩6分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001322082/
